row_id,ls_number,name,gender,party,department,rank,rank_comment,appointment_begin,appointment_end,house,constituency,state,ministry_name,ministry_category,ministry_category2,comments,pid,start_source,end_source
1001,1,Abid Ali,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Wednesday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Bombay,labour,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication
1002,1,Maulana Abul Kalam Azad,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Gurgaon,Punjab,education,education,,,,Council of Ministers Publication,Council of Ministers Publication
1004,2,Maulana Abul Kalam Azad,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Wednesday, 17 April 1957","Saturday, 22 February 1958",Lok Sabha,Gurgaon,Punajb,education,education,,,,Council of Ministers Publication,Council of Ministers Publication
1005,1,Ajit Prasad Jain,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 11 August 1954",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication
1006,1,Ajit Prasad Jain,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Wednesday, 11 August 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication
1007,1,Ajit Prasad Jain,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 25 November 1954","Thursday, 4 April 1957",Lok Sabha,Tumkur,Mysore,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication
1008,1,Arun Chandra Guha,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Wednesday, 18 March 1953","Tuesday, 7 December 1954",Lok Sabha,Barasat,West Bengal,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication
1009,1,Arun Chandra Guha,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Wednesday, 17 April 1957",Lok Sabha,Barasat,West Bengal,revenue & defence expenditure,defence,finance,,,Council of Ministers Publication,Council of Ministers Publication
1010,1,B N Datar,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 14 February 1956",Lok Sabha,Belgaum,Mysore,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication
1011,1,B N Datar,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Tuesday, 14 February 1956","Wednesday, 17 April 1957",Lok Sabha,Belgaum,Mysore,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication
1012,1,B V Keskar,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 17 April 1957",Lok Sabha,Musafirkhana,Uttar Pradesh,information & broadcasting,"electronics, information technology & communications",,,,Council of Ministers Publication,Council of Ministers Publication
1013,1,Bali Ram Bhagat,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Wednesday, 4 January 1956","Wednesday, 17 April 1957",Lok Sabha,Arrah,Bihar,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication
1014,1,C D Deshmukh,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Wednesday, 1 August 1956",Lok Sabha,Kolaba,Bombay,finance,finance,,,,Council of Ministers Publication,Council of Ministers Publication
1015,1,D P Karmakar,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 13 May 1952","Tuesday, 12 August 1952",Lok Sabha,Dharwad North,Mysore,commerce & industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication
1016,1,D P Karmakar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Thursday, 21 August 1952",Lok Sabha,Dharwad North,Mysore,commerce & industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication
1017,1,D P Karmakar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 21 August 1952","Wednesday, 13 June 1956",Lok Sabha,Dharwad North,Mysore,commerce,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication
1018,1,D P Karmakar,M,INC,NOT_APPLICABLE,MoS,NOT_APPLICABLE,"Wednesday, 13 June 1956","Wednesday, 17 April 1957",Lok Sabha,Dharwad North,Mysore,trade,trade,,,,Council of Ministers Publication,Council of Ministers Publication
1019,1,Govind Ballabh Pant,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Monday, 3 January 1955","Monday, 10 January 1955",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,without portfolio,without portfolio,,exception: without portfolio,,Council of Ministers Publication,Council of Ministers Publication
1020,1,Govind Ballabh Pant,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Monday, 10 January 1955","Thursday, 17 April 1957",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,home affairs,home affairs,,,,Council of Ministers Publication,Council of Ministers Publication
1021,1,Govind Ballabh Pant,M,INC,NOT_APPLICABLE,CM,Additional Charge,"Thursday, 30 August 1956","Wednesday, 14 November 1956",Rajya Sabha,NOT_APPLICABLE,Uttar Pradesh,heavy industry,heavy industry,,,,Council of Ministers Publication,Council of Ministers Publication
1022,1,Ajit Prasad Jain,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Friday, 5 April 1957","Wednesday, 17 April 1957",Lok Sabha,Tumkur,Mysore,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication
1023,1,H V Pataskar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Tuesday, 7 December 1954","Tuesday, 23 August 1955",Lok Sabha,Jalgaon,Bombay,law,law & justice,,,,Council of Ministers Publication,Council of Ministers Publication
1024,1,Ajit Prasad Jain,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Friday, 5 April 1957","Wednesday, 17 April 1957",Lok Sabha,Tumkur,Mysore,food & agriculture,"food, consumer affairs, public distribution",agriculture,,,Council of Ministers Publication,Council of Ministers Publication
1025,1,H V Pataskar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Sunday, 28 August 1955","Thursday, 13 December 1956",Lok Sabha,Jalgaon,Bombay,legal affairs,law & justice,,,,Council of Ministers Publication,Council of Ministers Publication
1026,1,H V Pataskar,M,INC,NOT_APPLICABLE,CM,Additional Charge,"Friday, 7 December 1956","Thursday, 13 December 1956",Lok Sabha,Jalgaon,Bombay,civil aviation,"transport: shipping, railways, civil aviation, tourism",,,,Council of Ministers Publication,Council of Ministers Publication
1027,1,H V Pataskar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 13 December 1956","Tuesday, 16 April 1957",Lok Sabha,Jalgaon,Bombay,legal affairs,law & justice,,,,Council of Ministers Publication,Council of Ministers Publication
1028,1,Mahavir Tyagi,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Friday, 5 April 1957","Wednesday, 17 April 1957",Lok Sabha,Dehra Dun,Uttar Pradesh,defence organisation,defence,,,,Council of Ministers Publication,Council of Ministers Publication
1029,1,H V Pataskar,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 13 December 1956","Tuesday, 16 April 1957",Lok Sabha,Jalgaon,Bombay,civil aviation,"transport: shipping, railways, civil aviation, tourism",,,,Council of Ministers Publication,Council of Ministers Publication
1030,0,Harekrushna Mahtab,M,INC,NOT_APPLICABLE,CM,NOT_APPLICABLE,"Thursday, 17 April 1952","Tuesday, 13 May 1952",not_applicable,not_applicable,not_applicable,commerce & industry,"commerce, industry, civil supplies",,,,Council of Ministers Publication,Council of Ministers Publication
1031,1,J K Bhonsle,M,INC,NOT_APPLICABLE,DCM,NOT_APPLICABLE,"Tuesday, 12 August 1952","Tuesday, 16 April 1957",Lok Sabha,Ratnagiri North,Bombay,rehabilitation,"labour, employment, rehabilitation",,,,Council of Ministers Publication,Council of Ministers Publication
